doc_id,text,cleaned_text,tokens,token_count,label
1136,1 November 2010 - Finnish textile and clothing company Marimekko Oyj ( HEL : MMO1V ) announced on Friday the opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc ( TYO : 8029 ) .,1 november 2010 finnish textile and clothing company marimekko oyj hel mmo1v announced on friday the opening of its first concept store in seoul in cooperation with japanese sector player look inc tyo 8029,"['1', 'november', '2010', 'finnish', 'textile', 'and', 'clothing', 'company', 'marimekko', 'oyj', 'hel', 'mmo1v', 'announced', 'on', 'friday', 'the', 'opening', 'of', 'its', 'first', 'concept', 'store', 'in', 'seoul', 'in', 'cooperation', 'with', 'japanese', 'sector', 'player', 'look', 'inc', 'tyo', '8029']",34,positive
1137,A broad range of connectivity options including 3G - HSPA and Wi-Fi gives consumers high speed access to the Internet .,a broad range of connectivity options including 3g hspa and wi fi gives consumers high speed access to the internet,"['a', 'broad', 'range', 'of', 'connectivity', 'options', 'including', '3g', 'hspa', 'and', 'wi', 'fi', 'gives', 'consumers', 'high', 'speed', 'access', 'to', 'the', 'internet']",20,neutral
1138,A new production line is being completed for the contract production of hormone treatments .,a new production line is being completed for the contract production of hormone treatments,"['a', 'new', 'production', 'line', 'is', 'being', 'completed', 'for', 'the', 'contract', 'production', 'of', 'hormone', 'treatments']",14,positive
1139,A quick `` one-stop-shop '' to understand the company .,a quick one stop shop to understand the company,"['a', 'quick', 'one', 'stop', 'shop', 'to', 'understand', 'the', 'company']",9,neutral
1140,About Dopplr Dopplr is a service for smart travellers .,about dopplr dopplr is a service for smart travellers,"['about', 'dopplr', 'dopplr', 'is', 'a', 'service', 'for', 'smart', 'travellers']",9,neutral
1141,About Elcoteq Elcoteq SE is a leading electronics manufacturing services ( EMS ) company in the communications technology field .,about elcoteq elcoteq se is a leading electronics manufacturing services ems company in the communications technology field,"['about', 'elcoteq', 'elcoteq', 'se', 'is', 'a', 'leading', 'electronics', 'manufacturing', 'services', 'ems', 'company', 'in', 'the', 'communications', 'technology', 'field']",17,positive
1142,About Nokia Nokia is a pioneer in mobile telecommunications and the world 's leading maker of mobile devices .,about nokia nokia is a pioneer in mobile telecommunications and the world s leading maker of mobile devices,"['about', 'nokia', 'nokia', 'is', 'a', 'pioneer', 'in', 'mobile', 'telecommunications', 'and', 'the', 'world', 's', 'leading', 'maker', 'of', 'mobile', 'devices']",18,positive
1143,About Stonesoft Corporation Stonesoft Corporation ( OMX : SFT1V ) is an innovative provider of integrated network security solutions to secure the information flow of distributed organizations .,about stonesoft corporation stonesoft corporation omx sft1v is an innovative provider of integrated network security solutions to secure the information flow of distributed organizations,"['about', 'stonesoft', 'corporation', 'stonesoft', 'corporation', 'omx', 'sft1v', 'is', 'an', 'innovative', 'provider', 'of', 'integrated', 'network', 'security', 'solutions', 'to', 'secure', 'the', 'information', 'flow', 'of', 'distributed', 'organizations']",24,neutral
1144,"According to Sweden 's Minister for Local Government and Financial Markets , Mats Odell , the decision to sell the State 's shares in telecom group TeliaSonera can only be carried out in cooperation with the State of Finland .",according to sweden s minister for local government and financial markets mats odell the decision to sell the state s shares in telecom group teliasonera can only be carried out in cooperation with the state of finland,"['according', 'to', 'sweden', 's', 'minister', 'for', 'local', 'government', 'and', 'financial', 'markets', 'mats', 'odell', 'the', 'decision', 'to', 'sell', 'the', 'state', 's', 'shares', 'in', 'telecom', 'group', 'teliasonera', 'can', 'only', 'be', 'carried', 'out', 'in', 'cooperation', 'with', 'the', 'state', 'of', 'finland']",37,neutral
1145,Finnish beverage company Olvi is introducing a new long drink Olvi Kultalonkero ( `` golden long drink '' ) in the market in Finland in the spring of 2009 .,finnish beverage company olvi is introducing a new long drink olvi kultalonkero golden long drink in the market in finland in the spring of 2009,"['finnish', 'beverage', 'company', 'olvi', 'is', 'introducing', 'a', 'new', 'long', 'drink', 'olvi', 'kultalonkero', 'golden', 'long', 'drink', 'in', 'the', 'market', 'in', 'finland', 'in', 'the', 'spring', 'of', '2009']",25,neutral
1146,"Finnish GeoSentric , a developer and provider of solutions , products , and technologies for location based services , has preliminary agreed on a EUR 6mn short-term funding with its leading investor .",finnish geosentric a developer and provider of solutions products and technologies for location based services has preliminary agreed on a eur 6mn short term funding with its leading investor,"['finnish', 'geosentric', 'a', 'developer', 'and', 'provider', 'of', 'solutions', 'products', 'and', 'technologies', 'for', 'location', 'based', 'services', 'has', 'preliminary', 'agreed', 'on', 'a', 'eur', '6mn', 'short', 'term', 'funding', 'with', 'its', 'leading', 'investor']",29,positive
1147,Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .,finnish raisio diagnostics is launching new dna based quick tests to ensure the safety of food,"['finnish', 'raisio', 'diagnostics', 'is', 'launching', 'new', 'dna', 'based', 'quick', 'tests', 'to', 'ensure', 'the', 'safety', 'of', 'food']",16,positive
1148,Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .,finnish rautaruukki is selling its precision tube and automotive component processing unit carl froh in germany to german arques industries,"['finnish', 'rautaruukki', 'is', 'selling', 'its', 'precision', 'tube', 'and', 'automotive', 'component', 'processing', 'unit', 'carl', 'froh', 'in', 'germany', 'to', 'german', 'arques', 'industries']",20,neutral
1149,"Finnish Suominen Corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its Tampere plant in Finland to lay off about 25 employees .",finnish suominen corporation that makes wet wipes nonwovens and flexible packaging is starting employer employee negotiations at its tampere plant in finland to lay off about 25 employees,"['finnish', 'suominen', 'corporation', 'that', 'makes', 'wet', 'wipes', 'nonwovens', 'and', 'flexible', 'packaging', 'is', 'starting', 'employer', 'employee', 'negotiations', 'at', 'its', 'tampere', 'plant', 'in', 'finland', 'to', 'lay', 'off', 'about', '25', 'employees']",28,negative
1150,Swedish Wallenberg family controlled Investor has bought a large stake of C shares in Swedish retail bank SEB .,swedish wallenberg family controlled investor has bought a large stake of c shares in swedish retail bank seb,"['swedish', 'wallenberg', 'family', 'controlled', 'investor', 'has', 'bought', 'a', 'large', 'stake', 'of', 'c', 'shares', 'in', 'swedish', 'retail', 'bank', 'seb']",18,neutral
1151,"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",according to arokarhu some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed,"['according', 'to', 'arokarhu', 'some', 'of', 'the', 'purchases', 'that', 'had', 'been', 'scanned', 'into', 'the', 'cash', 'register', 'computer', 'disappeared', 'when', 'the', 'total', 'sum', 'key', 'was', 'pressed']",24,negative
1152,"According to Barclays , the F-Secure software will protect users from hackers , viruses , spyware and other digital attacks .",according to barclays the f secure software will protect users from hackers viruses spyware and other digital attacks,"['according', 'to', 'barclays', 'the', 'f', 'secure', 'software', 'will', 'protect', 'users', 'from', 'hackers', 'viruses', 'spyware', 'and', 'other', 'digital', 'attacks']",18,neutral
1153,"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .",according to capman plc s corporate governance the majority of the committees members shall be independent of the company,"['according', 'to', 'capman', 'plc', 's', 'corporate', 'governance', 'the', 'majority', 'of', 'the', 'committees', 'members', 'shall', 'be', 'independent', 'of', 'the', 'company']",19,neutral
1154,"According to Finnair Technical Services , the measure is above all due to the employment situation .",according to finnair technical services the measure is above all due to the employment situation,"['according', 'to', 'finnair', 'technical', 'services', 'the', 'measure', 'is', 'above', 'all', 'due', 'to', 'the', 'employment', 'situation']",15,neutral
1155,"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",according to honka japan s managing director marko saarelainen honkarakenne exports about 200 ready made log houses to japan a year,"['according', 'to', 'honka', 'japan', 's', 'managing', 'director', 'marko', 'saarelainen', 'honkarakenne', 'exports', 'about', '200', 'ready', 'made', 'log', 'houses', 'to', 'japan', 'a', 'year']",21,neutral
1156,"According to preliminary data from Slovakia 's Statistics Office , goods worth E36 .4 million were imported from Finland between January and October 2010 , making up 0.1 percent of Slovakia 's total imports .",according to preliminary data from slovakia s statistics office goods worth e36 4 million were imported from finland between january and october 2010 making up 0 1 percent of slovakia s total imports,"['according', 'to', 'preliminary', 'data', 'from', 'slovakia', 's', 'statistics', 'office', 'goods', 'worth', 'e36', '4', 'million', 'were', 'imported', 'from', 'finland', 'between', 'january', 'and', 'october', '2010', 'making', 'up', '0', '1', 'percent', 'of', 'slovakia', 's', 'total', 'imports']",33,neutral
1157,"According to Seikku , the retail sector in Finland is controlled by 3-4 large actors , while food manufacturers are still relatively small .",according to seikku the retail sector in finland is controlled by 3 4 large actors while food manufacturers are still relatively small,"['according', 'to', 'seikku', 'the', 'retail', 'sector', 'in', 'finland', 'is', 'controlled', 'by', '3', '4', 'large', 'actors', 'while', 'food', 'manufacturers', 'are', 'still', 'relatively', 'small']",22,neutral
1158,"According to the company , staff will be laid off temporarily when necessary .",according to the company staff will be laid off temporarily when necessary,"['according', 'to', 'the', 'company', 'staff', 'will', 'be', 'laid', 'off', 'temporarily', 'when', 'necessary']",12,negative
1159,"According to Tyrv+ï¿½inen 's estimation , Japan is a very essential location in terms of Finnair 's Asian strategy .",according to tyrv ï¿½inen s estimation japan is a very essential location in terms of finnair s asian strategy,"['according', 'to', 'tyrv', 'ï¿½inen', 's', 'estimation', 'japan', 'is', 'a', 'very', 'essential', 'location', 'in', 'terms', 'of', 'finnair', 's', 'asian', 'strategy']",19,neutral
1160,"According to Vauramo , the plant 's lifting equipment is suitable for Asian and for some Chinese trucks .",according to vauramo the plant s lifting equipment is suitable for asian and for some chinese trucks,"['according', 'to', 'vauramo', 'the', 'plant', 's', 'lifting', 'equipment', 'is', 'suitable', 'for', 'asian', 'and', 'for', 'some', 'chinese', 'trucks']",17,neutral
1161,"After the signing , the total amount of Aspo 's revolving credit facility agreements is EUR 50 million , which replaces the formerly valid agreements of EUR 80 million .",after the signing the total amount of aspo s revolving credit facility agreements is eur 50 million which replaces the formerly valid agreements of eur 80 million,"['after', 'the', 'signing', 'the', 'total', 'amount', 'of', 'aspo', 's', 'revolving', 'credit', 'facility', 'agreements', 'is', 'eur', '50', 'million', 'which', 'replaces', 'the', 'formerly', 'valid', 'agreements', 'of', 'eur', '80', 'million']",27,neutral
1162,"Ahlstrom Corporation STOCK EXCHANGE RELEASE 13.02.2008 Ahlstrom , a global leader in high performance fiber-based materials , today announced the completion of the acquisition of Friend Group Inc. , which consists of West Carrollton Parchment Company and West Carrollton Converting Company .",ahlstrom corporation stock exchange release 13 02 2008 ahlstrom a global leader in high performance fiber based materials today announced the completion of the acquisition of friend group inc which consists of west carrollton parchment company and west carrollton converting company,"['ahlstrom', 'corporation', 'stock', 'exchange', 'release', '13', '02', '2008', 'ahlstrom', 'a', 'global', 'leader', 'in', 'high', 'performance', 'fiber', 'based', 'materials', 'today', 'announced', 'the', 'completion', 'of', 'the', 'acquisition', 'of', 'friend', 'group', 'inc', 'which', 'consists', 'of', 'west', 'carrollton', 'parchment', 'company', 'and', 'west', 'carrollton', 'converting', 'company']",41,neutral
1163,"Aho is proud of the company 's new product , Lordi-Cola .",aho is proud of the company s new product lordi cola,"['aho', 'is', 'proud', 'of', 'the', 'company', 's', 'new', 'product', 'lordi', 'cola']",11,neutral
1164,Aldata to Share Space Optimization Vision at Apollo User Group and 2009 Category Management Association Conferences ; Company Will Unveil New Solution that Combines Business Intelligence with Space Planning Data at Conferences,aldata to share space optimization vision at apollo user group and 2009 category management association conferences company will unveil new solution that combines business intelligence with space planning data at conferences,"['aldata', 'to', 'share', 'space', 'optimization', 'vision', 'at', 'apollo', 'user', 'group', 'and', '2009', 'category', 'management', 'association', 'conferences', 'company', 'will', 'unveil', 'new', 'solution', 'that', 'combines', 'business', 'intelligence', 'with', 'space', 'planning', 'data', 'at', 'conferences']",31,neutral
1165,"ALEXANDRIA , Va. , Aug. 27 -- Timo Vataja of Tampere , Finland , Virve Inget of Oulu , Finland , have developed a computer program product with activating the right of use .",alexandria va aug 27 timo vataja of tampere finland virve inget of oulu finland have developed a computer program product with activating the right of use,"['alexandria', 'va', 'aug', '27', 'timo', 'vataja', 'of', 'tampere', 'finland', 'virve', 'inget', 'of', 'oulu', 'finland', 'have', 'developed', 'a', 'computer', 'program', 'product', 'with', 'activating', 'the', 'right', 'of', 'use']",26,neutral
1166,"Also , a seven-year historic analysis is provided for these markets .",also a seven year historic analysis is provided for these markets,"['also', 'a', 'seven', 'year', 'historic', 'analysis', 'is', 'provided', 'for', 'these', 'markets']",11,neutral
1167,"Also , a six-year historic analysis is provided for these markets .",also a six year historic analysis is provided for these markets,"['also', 'a', 'six', 'year', 'historic', 'analysis', 'is', 'provided', 'for', 'these', 'markets']",11,neutral
1168,"Also , a six-year historic analysis is provided for this market .",also a six year historic analysis is provided for this market,"['also', 'a', 'six', 'year', 'historic', 'analysis', 'is', 'provided', 'for', 'this', 'market']",11,neutral
1169,"Also , Technopolis plans to build a 100 million euro technology park at the special economic zone Neudorf in St. Petersburg , the St. Petersburg government said in February .",also technopolis plans to build a 100 million euro technology park at the special economic zone neudorf in st petersburg the st petersburg government said in february,"['also', 'technopolis', 'plans', 'to', 'build', 'a', '100', 'million', 'euro', 'technology', 'park', 'at', 'the', 'special', 'economic', 'zone', 'neudorf', 'in', 'st', 'petersburg', 'the', 'st', 'petersburg', 'government', 'said', 'in', 'february']",27,neutral
1170,Also Chile is an important market area for forest machine companies .,also chile is an important market area for forest machine companies,"['also', 'chile', 'is', 'an', 'important', 'market', 'area', 'for', 'forest', 'machine', 'companies']",11,neutral
1171,Also the traditional grapevine carries a lot of weight .,also the traditional grapevine carries a lot of weight,"['also', 'the', 'traditional', 'grapevine', 'carries', 'a', 'lot', 'of', 'weight']",9,neutral
1172,Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .,altia s operating profit jumped to eur 47 million from eur 6 6 million,"['altia', 's', 'operating', 'profit', 'jumped', 'to', 'eur', '47', 'million', 'from', 'eur', '6', '6', 'million']",14,positive
1173,Altimo and TeliaSonera said yesterday that Usmanov would be welcome to join the new company .,altimo and teliasonera said yesterday that usmanov would be welcome to join the new company,"['altimo', 'and', 'teliasonera', 'said', 'yesterday', 'that', 'usmanov', 'would', 'be', 'welcome', 'to', 'join', 'the', 'new', 'company']",15,positive
1174,Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 .,amanda said that it had already made a usd5 0 m investment commitment in russia partners ii fund in july 2005,"['amanda', 'said', 'that', 'it', 'had', 'already', 'made', 'a', 'usd5', '0', 'm', 'investment', 'commitment', 'in', 'russia', 'partners', 'ii', 'fund', 'in', 'july', '2005']",21,neutral
1175,"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized .",an of the invention released by the patent office said the chambers are pressurized,"['an', 'of', 'the', 'invention', 'released', 'by', 'the', 'patent', 'office', 'said', 'the', 'chambers', 'are', 'pressurized']",14,neutral
1176,An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,an audio webcast will be available live and archived on cerner s web site at www cerner com,"['an', 'audio', 'webcast', 'will', 'be', 'available', 'live', 'and', 'archived', 'on', 'cerner', 's', 'web', 'site', 'at', 'www', 'cerner', 'com']",18,neutral
1177,"Anttila 's online department store - NetAnttila - has an established position as the best-known , most visited and most shopped online store in Finland  .",anttila s online department store netanttila has an established position as the best known most visited and most shopped online store in finland,"['anttila', 's', 'online', 'department', 'store', 'netanttila', 'has', 'an', 'established', 'position', 'as', 'the', 'best', 'known', 'most', 'visited', 'and', 'most', 'shopped', 'online', 'store', 'in', 'finland']",23,neutral
1178,"Apart from Nordea , also Ergo is competing for the position among the top three pension funds providers in Estonia .",apart from nordea also ergo is competing for the position among the top three pension funds providers in estonia,"['apart', 'from', 'nordea', 'also', 'ergo', 'is', 'competing', 'for', 'the', 'position', 'among', 'the', 'top', 'three', 'pension', 'funds', 'providers', 'in', 'estonia']",19,neutral
1179,"As a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in Finland will be formed in Sievi .",as a result of the merger the largest professional electronics and telecommunications technology contract manufacturing center in finland will be formed in sievi,"['as', 'a', 'result', 'of', 'the', 'merger', 'the', 'largest', 'professional', 'electronics', 'and', 'telecommunications', 'technology', 'contract', 'manufacturing', 'center', 'in', 'finland', 'will', 'be', 'formed', 'in', 'sievi']",23,neutral
1180,As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .,as a result of the negotiations the employment of 130 blue and white collar employees at the oulu plant would be terminated,"['as', 'a', 'result', 'of', 'the', 'negotiations', 'the', 'employment', 'of', '130', 'blue', 'and', 'white', 'collar', 'employees', 'at', 'the', 'oulu', 'plant', 'would', 'be', 'terminated']",22,negative
1181,"As of August 2008 , Glaston 's North Asian sales and service region is upgraded to a new market area , North Asia .",as of august 2008 glaston s north asian sales and service region is upgraded to a new market area north asia,"['as', 'of', 'august', '2008', 'glaston', 's', 'north', 'asian', 'sales', 'and', 'service', 'region', 'is', 'upgraded', 'to', 'a', 'new', 'market', 'area', 'north', 'asia']",21,neutral
1182,"As the world leaders in developing UV technology for municipal wastewater , drinking water , and industrial water treatment systems , Trojan Technologies was a logical partner in providing W+ï¿½rtsil+ï¿½ with UV technology for ballast water treatment .",as the world leaders in developing uv technology for municipal wastewater drinking water and industrial water treatment systems trojan technologies was a logical partner in providing w ï¿½rtsil ï¿½ with uv technology for ballast water treatment,"['as', 'the', 'world', 'leaders', 'in', 'developing', 'uv', 'technology', 'for', 'municipal', 'wastewater', 'drinking', 'water', 'and', 'industrial', 'water', 'treatment', 'systems', 'trojan', 'technologies', 'was', 'a', 'logical', 'partner', 'in', 'providing', 'w', 'ï¿½rtsil', 'ï¿½', 'with', 'uv', 'technology', 'for', 'ballast', 'water', 'treatment']",36,neutral
1183,"Aspo 's strong company brands - ESL Shipping , Leipurin , Telko and Kaukomarkkinat - aim to be the market leaders in their sectors .",aspo s strong company brands esl shipping leipurin telko and kaukomarkkinat aim to be the market leaders in their sectors,"['aspo', 's', 'strong', 'company', 'brands', 'esl', 'shipping', 'leipurin', 'telko', 'and', 'kaukomarkkinat', 'aim', 'to', 'be', 'the', 'market', 'leaders', 'in', 'their', 'sectors']",20,neutral
1184,"At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company -ï¿½ s shares outstanding .",at this stage a maximum of 60 000 tulikivi series a shares will be acquired representing about 0 16 per cent of the company ï¿½ s shares outstanding,"['at', 'this', 'stage', 'a', 'maximum', 'of', '60', '000', 'tulikivi', 'series', 'a', 'shares', 'will', 'be', 'acquired', 'representing', 'about', '0', '16', 'per', 'cent', 'of', 'the', 'company', 'ï¿½', 's', 'shares', 'outstanding']",28,neutral
1185,Atria Group is a leading Scandinavian meat products group .,atria group is a leading scandinavian meat products group,"['atria', 'group', 'is', 'a', 'leading', 'scandinavian', 'meat', 'products', 'group']",9,positive
1186,"Atria will launch a campaign in September to promote the CampoMos brand on the Moscow market , he said .",atria will launch a campaign in september to promote the campomos brand on the moscow market he said,"['atria', 'will', 'launch', 'a', 'campaign', 'in', 'september', 'to', 'promote', 'the', 'campomos', 'brand', 'on', 'the', 'moscow', 'market', 'he', 'said']",18,positive
1187,BasWare Order Matching automatically matches purchase invoices with approved purchase orders .,basware order matching automatically matches purchase invoices with approved purchase orders,"['basware', 'order', 'matching', 'automatically', 'matches', 'purchase', 'invoices', 'with', 'approved', 'purchase', 'orders']",11,neutral
1188,"BG AD , Bulgaria 's leading Internet company .",bg ad bulgaria s leading internet company,"['bg', 'ad', 'bulgaria', 's', 'leading', 'internet', 'company']",7,positive
1189,"Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper .",capacity of the facility made by finland s vaahto group is 86 000 tons of light coated paper,"['capacity', 'of', 'the', 'facility', 'made', 'by', 'finland', 's', 'vaahto', 'group', 'is', '86', '000', 'tons', 'of', 'light', 'coated', 'paper']",18,neutral
1190,"CapMan , an asset manager , has EUR 3bn worth of assets under management in the Nordic region .",capman an asset manager has eur 3bn worth of assets under management in the nordic region,"['capman', 'an', 'asset', 'manager', 'has', 'eur', '3bn', 'worth', 'of', 'assets', 'under', 'management', 'in', 'the', 'nordic', 'region']",16,neutral
1191,"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team .",capman has four investment areas capman buyout capman technology capman life science and capman real estate and each of them has a dedicated team,"['capman', 'has', 'four', 'investment', 'areas', 'capman', 'buyout', 'capman', 'technology', 'capman', 'life', 'science', 'and', 'capman', 'real', 'estate', 'and', 'each', 'of', 'them', 'has', 'a', 'dedicated', 'team']",24,neutral
1192,Castecka said the town hall would hold talks with other investors interested in the zone .,castecka said the town hall would hold talks with other investors interested in the zone,"['castecka', 'said', 'the', 'town', 'hall', 'would', 'hold', 'talks', 'with', 'other', 'investors', 'interested', 'in', 'the', 'zone']",15,neutral
1193,Central Europe is an important market area for Honka .,central europe is an important market area for honka,"['central', 'europe', 'is', 'an', 'important', 'market', 'area', 'for', 'honka']",9,neutral
1194,cents Recognize potential partnerships and suppliers .,cents recognize potential partnerships and suppliers,"['cents', 'recognize', 'potential', 'partnerships', 'and', 'suppliers']",6,neutral
1195,Certain shareholders have irrevocably agreed to vote in favor of the bond issue .,certain shareholders have irrevocably agreed to vote in favor of the bond issue,"['certain', 'shareholders', 'have', 'irrevocably', 'agreed', 'to', 'vote', 'in', 'favor', 'of', 'the', 'bond', 'issue']",13,positive
1196,"Changes being announced today will be effective after the close of trading on Friday , June 19 , 2009 .",changes being announced today will be effective after the close of trading on friday june 19 2009,"['changes', 'being', 'announced', 'today', 'will', 'be', 'effective', 'after', 'the', 'close', 'of', 'trading', 'on', 'friday', 'june', '19', '2009']",17,neutral
1197,Chief Financial Officer Jim Heindlmeyer said Beyond Oblivion is in advanced talks with the four major recording companies about its service .,chief financial officer jim heindlmeyer said beyond oblivion is in advanced talks with the four major recording companies about its service,"['chief', 'financial', 'officer', 'jim', 'heindlmeyer', 'said', 'beyond', 'oblivion', 'is', 'in', 'advanced', 'talks', 'with', 'the', 'four', 'major', 'recording', 'companies', 'about', 'its', 'service']",21,neutral
1198,"CHS Expo Freight is a major Finnish fair , exhibition and culture logistics company that provides logistics services to various events by land , air and sea .",chs expo freight is a major finnish fair exhibition and culture logistics company that provides logistics services to various events by land air and sea,"['chs', 'expo', 'freight', 'is', 'a', 'major', 'finnish', 'fair', 'exhibition', 'and', 'culture', 'logistics', 'company', 'that', 'provides', 'logistics', 'services', 'to', 'various', 'events', 'by', 'land', 'air', 'and', 'sea']",25,neutral
1199,Competition authorities will have to approve the deal before it can be finalized .,competition authorities will have to approve the deal before it can be finalized,"['competition', 'authorities', 'will', 'have', 'to', 'approve', 'the', 'deal', 'before', 'it', 'can', 'be', 'finalized']",13,neutral
1200,"Complete name of shareholder : Otto Henrik Bernhard Nyberg For further information , please contact Maija-Liisa Friman , CEO , tel. +358 9 7597 0711 .",complete name of shareholder otto henrik bernhard nyberg for further information please contact maija liisa friman ceo tel 358 9 7597 0711,"['complete', 'name', 'of', 'shareholder', 'otto', 'henrik', 'bernhard', 'nyberg', 'for', 'further', 'information', 'please', 'contact', 'maija', 'liisa', 'friman', 'ceo', 'tel', '358', '9', '7597', '0711']",22,neutral
1201,Completion of the transaction is subject to a final agreement and a Due Diligence process .,completion of the transaction is subject to a final agreement and a due diligence process,"['completion', 'of', 'the', 'transaction', 'is', 'subject', 'to', 'a', 'final', 'agreement', 'and', 'a', 'due', 'diligence', 'process']",15,neutral
1202,Construction is expected to be completed in the summer of 2011 .,construction is expected to be completed in the summer of 2011,"['construction', 'is', 'expected', 'to', 'be', 'completed', 'in', 'the', 'summer', 'of', '2011']",11,neutral
1203,Consumers are now increasingly interested in what they can do with heir phones .,consumers are now increasingly interested in what they can do with heir phones,"['consumers', 'are', 'now', 'increasingly', 'interested', 'in', 'what', 'they', 'can', 'do', 'with', 'heir', 'phones']",13,neutral
1204,"Crucially , the decision to use ETSI ( European Telecommunication Standard Institute ) - backed DVB-H adds to the growing list of operators and equipment manufacturers opting for the standard ( see Global : 20 January 2006 : Competing Technologies Vie for Mobile TV ) .",crucially the decision to use etsi european telecommunication standard institute backed dvb h adds to the growing list of operators and equipment manufacturers opting for the standard see global 20 january 2006 competing technologies vie for mobile tv,"['crucially', 'the', 'decision', 'to', 'use', 'etsi', 'european', 'telecommunication', 'standard', 'institute', 'backed', 'dvb', 'h', 'adds', 'to', 'the', 'growing', 'list', 'of', 'operators', 'and', 'equipment', 'manufacturers', 'opting', 'for', 'the', 'standard', 'see', 'global', '20', 'january', '2006', 'competing', 'technologies', 'vie', 'for', 'mobile', 'tv']",38,neutral
1205,Currently more than 100 of Global Fortune 500 companies are using SSH security solutions .,currently more than 100 of global fortune 500 companies are using ssh security solutions,"['currently', 'more', 'than', '100', 'of', 'global', 'fortune', '500', 'companies', 'are', 'using', 'ssh', 'security', 'solutions']",14,neutral
1206,"Demand seems to have hit bottom now , and some signs of improvement can be seen .",demand seems to have hit bottom now and some signs of improvement can be seen,"['demand', 'seems', 'to', 'have', 'hit', 'bottom', 'now', 'and', 'some', 'signs', 'of', 'improvement', 'can', 'be', 'seen']",15,positive
1207,"DnB Nord of Norway is the `` most likely Nordic buyer '' for Citadele , while Nordea would be a `` good strategic fit '' , according to the document published by Pietiek .",dnb nord of norway is the most likely nordic buyer for citadele while nordea would be a good strategic fit according to the document published by pietiek,"['dnb', 'nord', 'of', 'norway', 'is', 'the', 'most', 'likely', 'nordic', 'buyer', 'for', 'citadele', 'while', 'nordea', 'would', 'be', 'a', 'good', 'strategic', 'fit', 'according', 'to', 'the', 'document', 'published', 'by', 'pietiek']",27,neutral
1208,Donations to universities The Annual General Meeting authorized the Board of Directors to donate max .,donations to universities the annual general meeting authorized the board of directors to donate max,"['donations', 'to', 'universities', 'the', 'annual', 'general', 'meeting', 'authorized', 'the', 'board', 'of', 'directors', 'to', 'donate', 'max']",15,neutral
1209,"Dopplr members share personal and business travel plans privately with their networks , and highlight interesting places to stay , eat and explore in cities around the world .",dopplr members share personal and business travel plans privately with their networks and highlight interesting places to stay eat and explore in cities around the world,"['dopplr', 'members', 'share', 'personal', 'and', 'business', 'travel', 'plans', 'privately', 'with', 'their', 'networks', 'and', 'highlight', 'interesting', 'places', 'to', 'stay', 'eat', 'and', 'explore', 'in', 'cities', 'around', 'the', 'world']",26,neutral
1210,Dragonfly Love is another video shot from start to finish using the Nokia N8 .,dragonfly love is another video shot from start to finish using the nokia n8,"['dragonfly', 'love', 'is', 'another', 'video', 'shot', 'from', 'start', 'to', 'finish', 'using', 'the', 'nokia', 'n8']",14,neutral
1211,"During the past 10 years the factory has produced many of Nokia 's most popular models including the Nokia 2760 , the Nokia 6300 as well as Nokia 's latest music device the Nokia 5800 Express Music .",during the past 10 years the factory has produced many of nokia s most popular models including the nokia 2760 the nokia 6300 as well as nokia s latest music device the nokia 5800 express music,"['during', 'the', 'past', '10', 'years', 'the', 'factory', 'has', 'produced', 'many', 'of', 'nokia', 's', 'most', 'popular', 'models', 'including', 'the', 'nokia', '2760', 'the', 'nokia', '6300', 'as', 'well', 'as', 'nokia', 's', 'latest', 'music', 'device', 'the', 'nokia', '5800', 'express', 'music']",36,neutral
1212,EB will hold the exclusive rights to market the new entity 's product .,eb will hold the exclusive rights to market the new entity s product,"['eb', 'will', 'hold', 'the', 'exclusive', 'rights', 'to', 'market', 'the', 'new', 'entity', 's', 'product']",13,neutral
